question,answer,prediction
Was Abraham Lincoln the sixteenth President of the United States?,yes,Yes.
Did Lincoln sign the National Banking Act of 1863?,yes,Yes.
Did his mother die of pneumonia?,no,No.
How many long was Lincoln's formal education?,18 months,18 months
When did Lincoln begin his political career?,1832,1832
What did The Legal Tender Act of 1862 establish?,"the United States Note, the first paper currency in United States history","The United States Note, the first paper currency in United States history."
Who suggested Lincoln grow a beard?,11-year-old Grace Bedell,Grace Bedell
When did the Gettysburg address argue that America was born?,1776,1776
Did Lincoln beat John C. Breckinridge in the 1860 election?,yes,Yes.
Was Abraham Lincoln the first President of the United States?,No,No.
Did Lincoln start his political career in 1832?,Yes,Yes.
Did Lincoln ever represent Alton & Sangamon Railroad?,Yes,Yes.
Which county was Lincoln born in?,Hardin County,Hardin County
When did Lincoln first serve as President?,"March 4, 1861","March 4, 1861"
Who assassinated Lincoln?,John Wilkes Booth,John Wilkes Booth
Did Lincoln win the election of 1860?,Yes,Yes.
Who was the general in charge at the Battle of Antietam?,General McClellan,George McClellan
Why did Lincoln issue the Emancipation Proclamation?,To free slaves ,To weaken the rebellion and liberate slaves owned by rebels.
Do scholars rank lincoln among the top three presidents?,Yes,Yes.
Did lincoln have 18 months of schooling?,Yes,Yes.
Was Lincoln chosen as a presidential candidate in 1860?,Yes,Yes.
How old was Lincoln in 1816?,seven,Seven years old
When was the first photgraph of lincoln taken?,1846,1846
How long was Lincoln's legal Career?,23 years,Not specified in the context.
What trail did Lincoln use a Farmers' Almanac in? ,"he defended William ""Duff"" Armstrong",No trail specified.
Did Abraham Lincoln live in the Frontier?,Yes,Yes.
Did Lincoln's Wife's Family support slavery?,Yes,No.
Who is most noted for his contributions to the theory of molarity and molecular weight?,Amedeo Avogadro,Avogadro
Who graduated in ecclesiastical law at the early age of 20 and began to practice?,Amedeo Avogadro,Young Adams
When did he publish another memoria?,1821,1821
When did he become a professor?,1820,1892
Is it true that he became a professor in 1820?,yes,Yes.
Was Lorenzo Romano Amedeo Carlo Avogadro an Italian savant?,yes,Yes.
"Was Amedeo Avogadro born in Turin August 9th 1776 to a noble ancient family of Piedmont, Italy?",yes,Yes.
Is he most noted for his contributions to the theory of molarity and molecular weight?,yes,Yes.
Was King Victor Emmanuel III there to pay homage to Avogadro ?,yes,Yes.
Is Avogadro 's number commonly used to compute the results of chemical reactions ?,yes,Yes.
Did the scientific community not reserve great attention to his theory ?,yes,Yes.
Can the title of this famous 1811 paper be roughly translated into english?,yes,On magnetism
What happened in 1833?,Avogadro had been recalled to Turin university,No information provided.
Who determined the dependence of the boiling of water with atmospheric pressure?,Anders Celsius,Anders Celsius
What is named after him?,The Celsius crater on the Moon,Teddy bear
When did he publish a collection?,1733,No
Is it true that he published a collection in 1738?,No,No.
Is it true that thermometer had 100 for the freezing point?,Yes,No
Was Celsius born in Uppsala in Sweden?,Yes,Yes.
"Was Anders Celsius (November 27, 1701 April 25, 1744) a Swedish astronomer?",Yes,Yes.
Is The Celsius crater on the Moon named after him?,Yes,Yes
Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Anders Celsius,Anders Celsius
The Celsius crater on the Moon is what?,named after him,A crater
Is the Celsius crater on the Moon named after him ?,Yes,Yes
Had his thermometer 100 for the freezing point of water and 0 for the boiling point ?,Yes it had,No
Was Celsius born in Uppsala in Sweden ?,Yes,Yes
Did he not determine the dependence of the boiling of water with atmospheric pressure -LRB- in excellent agreement with modern data -RRB- ?,Yes he did,No
What happened from 1730 to 1744?,He was professor of astronomy at Uppsala University,No information provided.
What happened in 1745?,The scale was reversed,No event mentioned in the context.
Are beetles insects?,Yes,Yes.
Can beetles be found in polar regions?,No,No
Do beetles antennae function primarily as organs of smell?,Yes,Yes.
What are the three sections of a beetle?,"the head, the thorax, and the abdomen","Head, thorax, abdomen"
Which defense mechanism uses colour or shape to deceive potential enemies?,mimicry,Mimicry
Which type of beetle is a pest of potato plants?,Colorado potato beetle,Colorado potato beetle
How can beetle larvae be differentiated from other insect larvae?,"their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body","Hardened, often darkened head, chewing mouthparts, spiracles along the sides of the body."
What do beetles eat?,"Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet.","Plants, fungi, animal debris, other invertebrates, and sometimes other insects."
What are the similarities between beetles and grasshoppers?,mouthparts,Both have chewing mouthparts.
Are certain species of beetles considered pests?,Yes,Yes.
Is a beetle's general anatomy uniform?,Yes,Yes.
Are beetles endopterygotes?,yes,Yes.
How many species of beetles are there?,"350,000","About 350,000 species"
When are sperm cells transferred to the female?,during pairing,During pairing
What is the study of beetles called?,coleopterology,Coleopterology
"Is it possible that there are more than 350,000 species of beetles?",yes,Yes.
Is the Adephaga suborder larger than the Polyphaga suborder?,no,No.
Do carrion beetles eat dung?,no,No.
What are prey of various animals including birds and mammals?,Beetles.,"Ducks, ungulates, monkeys, rodents, reptiles, amphibians, fish, crocodiles, deer, antelopes, Ibex, caribou calves"
What was given by Aristotle for the hardened shield like forewings?,"The name ""Coleoptera"".",Coleo = shield + ptera = wing
Who or what vary greatly in form within the coleoptera?,Antennae.,Both A and B vary greatly in form within the coleoptera.
Are many beetles territorial?,Yes.,Yes.
Are beetles endopterygotes with complete metamorphosis?,Yes.,Yes.
Oxygen is what?,One kind of gas obtained via a tracheal system.,Molecule
Is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?,Yes.,Yes.
Have coleopterists formed organisations to facilitate the study of beetles ?,Yes.,Yes.
"Is the study of beetles called coleopterology , and its practitioners are coleopterists ?",Yes.,Yes.
May a single female lay from several dozen to several thousand eggs during her lifetime ?,Yes.,Yes.
Can beetles be found in almost all habitats?,Yes.,Yes.
What happened on plants and fungi?,They are food to beetles.,Clearing of vegetation
Was Calvin Coolidge the twenty-ninth vice president?,no,Yes.
"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?",yes,Yes
Did Coolidge graduate from Black River Academy?,yes,Yes.
When did he drop John from his name?,upon graduating from college,No information provided.
When did Coolidge meet and marry Grace Anna Goodhue?,1905,1905
What period of rapid economic growth did the United States experience during Coolidge's presidency?,the Roaring Twenties,Roaring Twenties
What did Coolidge do after graduating from Amherst?,"Coolidge moved to Northampton, MassachuS08_setts","He joined the Fraternity of Phi Gamma Delta, became a member of the College Republicans, and composed the Grove Oration. Later, he served in various roles including chairman of the Railroad Commission, honorary president of the Foundation of the Blind, and president of the American Antiquarian Society. He also became a trustee of Amherst College and received an honorary Doctor of Laws from Bates College."
Of what state was Coolidge governor?,MassachuS08_setts,Massachusetts
Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge,Calvin Coolidge
Was Coolidge the thirteenth President of the United States?,No,No.
Was Calvin Coolidge Republican?,Yes,Yes.
Was Calvin Coolidge a governor of MassachuS08_setts?,Yes,Yes
When was Coolidge born?,July 4 1872,"July 4, 1872"
Where did Coolidge's grandfather had government offices?,Plymouth,Plymouth
Which state were Coolidge born in?,"Plymouth, Windsor County, Vermont",Vermont
Is Calvin Jr. older than John Coolidge?,No,No.
Did Coolidge get in Amherst College?,Yes,No
What caused Calvin Jr.'s death?,heart attack,Stroke
Was John Calvin Coolidge Jr. was born in Las Vegas?,No,No.
Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?,Yes,No
Did Coolidge meet and marry Grace Anna Goodhue?,Yes,Yes.
What year did Coolidge open his own law office?,1898,1898
What fraternity was Coolidge a member of?,Phi Gamma Delta,Phi Gamma Delta
In 1905 Coolidge met and married whom?,Grace Anna Goodhue,Grace Anna Goodhue
Why did Coolidge not attend law school?,It was too expensive,To run for New York Assemblyman
Have there been other US presidents that have visited Cuba?,No,No.
What years were Coolidge's two sons born in?,1906 and 1908,1906 and 1908
Did France cede nearly all of its colonies in Europe in 1763?,Yes.,No.
Is Canada a member of the OECD?,Yes.,Yes.
Is Canada's official language Zulu?,No.,No.
What is one significant non-official language?,Chinese.,Chinese
"In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?",Quebec City,Quebec City
What was the Consitution Act formerly called?,The British North America Act.,The Constitution Act
Which countries established colonies in Canada?,France and Britain.,United Kingdom
How has Canada helped UN peacekeeping efforts?,"During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989",Led the inception of the United Nations Peacekeeping Force during the Suez Crisis of 1956 and served in 50 peacekeeping missions.
What percentage of the population don't speak English or French at home?,28%,26.5%
Is Canada bilingual?,Yes.,Yes.
Did Canadian soldiers win the Battle of Vimy Ridge in 1917?,Yes,Yes.
Is an official language of Canada German?,No.,No.
How many provinces and territories does Canada have?,A federation now comprising ten provinces and three territories,Ten provinces and three territories.
What is Canada's national unemployment rate?,"While as of October 2007, Canada's national unemployment rate of 5.9% is its lowest in 33 years. Provincial unemployment rates vary from a low of 3.6% in Alberta to a high of 14.6% in Newfoundland and Labrador. ",5.9%
Where is the most densely populated part of Canada?,The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.,Quebec City-Windsor Corridor
What is the largest country in the world?,"Canada is the second largest country in the world, after Russia, and largest on the continent.",Russia
What is the largest religious group in Canada?,"According to 2001 census, 77.1% of Canadians identified as being Christians; of this, Catholics make up the largest group (43.6% of Canadians). The largest Protestant denomination is the United Church of Canada; about 16.5% of Canadians declare no religious affiliation, and the remaining 6.3% were affiliated with religions other than Christianity, of which the largest is Islam numbering 1.9%, followed by Judaism: 1.1%. ",Catholics
When did Canada have one of the largest armed forces in the world?,1944.,During the Cold War
What have been inhabited for millennia by aboriginal peoples?,The lands,The lands along the Atlantic coast
European books and maps began referring to this region as Canada in what year?,1545,1545
What was Canada's most important industry until the 1800s?,The fur trade,Fur trade
Is it true that it angered many residents of the thirteen colonies?,yes,Yes.
How do cuba and declining participation relate?,Canada maintains full relations with both.,Cuba maintains full relations with Canada.
Is it true that provinces have a large degree of autonomy?,yes,Yes.
What did Canada adopt in 1965?,The Maple Leaf Flag,Maple Leaf Flag
What arrived in Britain?,The first Canadian Army units in WW II,Gold Coast
Are Canada 's two official languages English and French ?,yes,Yes.
Are Canada 's official national sports ice hockey ( winter ) and lacrosse ( summer ) ?,yes,Yes
Is Canada a geographically vast and ethnically diverse country ?,yes,Yes.
Did Mainland Nova Scotia not come under British rule with the Treaty of Utrecht    (: ; ?,no!,No
"Did Cartier not use the word ` Canada ' to refer to not only that village , but the entire area subject to Donnacona , Chief at Stadacona ?",yes,No.
Did continental European immigrants not S08_settle the prairies ?,no,No.
Is it the world 's second largest country by total area?,yes,No
What happened in 1867?,"Canada was formed as a federal, semi-autonomous polity",Canada confederated.
Are ducks in the Arctic Northern Hemisphere migratory?,Some are,Yes.
Is a drake a male?,Yes,Yes.
"Do all ducks ""quack""?",No,No.
What is the name of a specialized species of duck adapted to catch large fish?,the smew,Smew
What animal attracts the most humor and silliness?,The duck,Duck
What is an economic use of a duck?,Meat,"Meat, eggs, feathers, and down production"
Who is Daffy Duck?,A silly cartoon character,A silly cartoon character
What makes it more difficult for a diving duck to fly?,They are heavier,Heavier weight
What are the reasons for hunting wild ducks?,"Meat, eggs, and feathers",Food or sport
Do ducks forage underwater?,yes,Yes.
Is foie gras often made from ducks?,yes,Yes.
What economic uses to ducks have?,"They are farmed for their meat, eggs and feathers. They are also kept and bred by aviculturists and often displayed in zoos.","Meat, eggs, feathers, down"
What kind of ducks feed on land?,Dabbling ducks,Dabbling ducks
What unrelated water birds are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots","Loons, divers, grebes, gallinules, and coots."
What does the word duck mean?,It is the common name for a number of species in the Anatidae family of birds.,A bird
What are some common predators of ducks?,"Pike, crocodilians, herons, hawks and eagles.","Avian hunters, large fish, crocodilians, herons, foxes, hawks, eagles, humans, Peregrine Falcon"
How does a Mallard's tongue work?,"It's tongue is a flat plate, and on the tongue's back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat",Pushes struggling prey and food down its throat.
Are diving ducks heavier tha dabbling ducks?,Yes,Yes.
Are adult ducks fast fliers?,Yes,Yes.
Are ducks an accepted presence in some populated areas?,Yes,Yes.
What types of unrelated water birds with similar forms are ducks sometimes confused with?,"loons or divers, grebes, gallinules, and coots","Loons, divers, grebes, gallinules, and coots."
Why are ducklings particularly vulnerable?,Their inability to fly.,Inability to fly
What are some economic uses for duck?,"Meat,eggs,feathers","Meat, eggs, feathers, down, sport hunting, decoy hunting"
What allows a duck to filter water out of the side of their beaks and keep food inside?,Tiny rows of plates called lamellae,Lamellae
What expression is part of a conceptual framework for testing computer systems?,Quacks like a duck,Duck test
"Where did the expression ""a sitting duck"" come from?","In many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys.",Hunting
Is Egypt bordered by the Gaza Strip?,yes,Yes
Is Egypt the most populated country in Africa?,no,Yes.
Does Egypt have political influence in the Middle East?,yes,Yes.
When was the Six Day War?,1967,1967
What religions has Egypt outlawed?,"All but Christianity, Islam, and Judaism","All religions except Islam, Christianity, and Judaism"
What is the poulation of Egypt?,more than 78 million,78 million people
Why does most of Egypt's population live near the Nile?,"the only arable agricultural land is found there,",Aridity of climate
Are there a large number of Jews living in Egypt today?,no,No.
During what period was Akhenaten a Pharaoh?,The New Kingdom (c.1550&#8722;1070 BC) ,New Kingdom
Is Egypt in Asia?,No.,No.
Does Egypt receive the least rainfall in the world?,Yes.,Yes.
Does Egypt's foreign policy operates along moderate lines?,Yes.,Yes.
Since when has Egypt been a republic?,June 18 1953.,"June 18, 1953"
When were the Great Sphinx and the Pyramids of Giza built?,During the Old Kingdom.,Old Kingdom
What countries border Egypt?,"Libya, Sudan, the Gaza Strip and Israel.","Libya, Sudan, Gaza Strip, Israel, Cyprus, and Egypt"
What is the estimated population of Egypt?,More than 78 million.,78 million
Does snow fall in Egypt?,Yes.,Yes.
When did organized agriculture appear in the Nile Valley?,6000 BC.,About 6000 BC
Are elephants the largest land animals alive today?,yes,Yes.
Can an elephant kill a rhinoceros?,yes,No.
Are elephants good swimmers?,yes,Yes.
How many living species of African Elephants are there?,2,Three
How long may elephants live?,70 years,"Up to 70 years, sometimes longer."
Why does the phrase 'elephants never forget' have no metaphorical meaning?,it refers literally to elephants supposedly having an excellent memory,It refers literally to elephants supposedly having an excellent memory.
How many living species of Asian Elephants are there?,1,Three
How much do elephants weight at birth?,120 kilograms,90–115 kg (200–250 lb)
What did Aristotle say about elephants?,the beast which pasS08_seth all others in wit and mind,"The elephant is ""the beast which passeth all others in wit and mind."""
Are elephant populations in West Africa generally small and fragmented?,yes,Yes.
Is the Asian elephant larger than the African?,no,No
Is an elephant's skin tough?,yes,Yes.
How do elephants communicate over long distances?,by producing and receiving low frequency sound,By producing and receiving low-frequency sound (infrasound)
When do African elephants lie down?,when they are sick or wounded,"Rarely, unless they are sick or wounded."
How long is the elephant's gestation period?,22 months,22 months
How many species of African elephants have been proposed?,three,Two
What are the elephant's ears important for?,temperature regulation,Temperature regulation and communication
What land animal has the largest brain?,elephant,Elephant
Are elephants mammals?,yes,Yes.
Have elephants been used as working animals?,yes,Yes.
Do they prefer forested areas?,Yes,Yes.
What is the world population of Asian elephants?,60000,"Around 60,000"
What part of an elephant is very important for temperature regulation?,Ears,Ears
Where was the largest elephant ever recorded shot?,Angola,"Ngorongoro crater, Tanzania"
Is an Asian elephant smaller than an African elephant?,yes,Yes.
What land animal is larger than an elephant?,"None, the elephant is the largest land animal.",None
Has tusklessness become a rare abnormality?,No,No.
Were the treaties signed in 1947 and 1948 with the Ukraine?,no,No.
Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages?,yes,Yes.
Is the most read newspaper in Finland Taloussanomat?,no,No
Which Russian army general conquered Finland in 1809?,Alexander I,Alexander I of Russia
What is the life expectancy for men in Finland?,75 years,75 years
"In what year were the ""Games of the XV Olympiad"" held?",1952,1952
What body of water lies to the south of Finland?,the Gulf of Finland,Gulf of Finland
Name an animal that is growing in number due to recent conservation efforts,"Golden Eagle, Brown Bear, or Eurasian Lynx (Change imperative to interrogative)",Golden Eagle
"Today, are there more cell phone subscriptions than people in Finland?",yes,Yes.
Is Matti Vanhanen the Prime Minister of Finland?,yes,Yes.
Is the capital city Oslo?,no,No.
Does it have a border with Norway?,yes,No.
What is the life expectancy for men?,75 years,76.1 years
What is the biggest city in Finland?,Greater Helsinki,Helsinki
Who is the most popular rock group in Finland?,CMX,CMX
What is Finland's economy like?,"a highly industrialised, free-market economy","Highly industrialised, free-market economy with a strong services sector and significant manufacturing and electronics industries."
Where is Finland located?,Northern Europe,Northern Europe
What is the weather like in summer?,relatively warm,Hot with occasional extreme heat in some interior locations.
Does salmon remain the favorite of fly rod enthusiasts?,Yes,Yes.
Are there cathedrals scattered all across Finland?,Yes,Yes.
"According to Reader's Digest, is Finland best for living?",Yes,Yes.
When did the first verifiable written documents appear?,Twelfth Century,Twelfth century
What is the capital city?,Helsinki,Jakarta
What is the most extensively celebrated holiday?,Christmas,Christmas
Does a large proportion of the population speak Swedish as its mother tongue?,No,No
Do women live longer than men?,Yes,Yes.
What is a country with which Finland is involved in an international conflict?,Finland is not involved in international conflicts or border disputes. ,No
Was Ford a member of the House of Representatives?,Yes,Yes.
For how long was Ford a member of the House of Representatives?,Over eight years.,Twenty-four years
Was Gerald Ford a member of Delta Kappa Epsilon?,Yes,Yes.
"Did ford get an award called ""Congressman's congressman""?",Yes,Yes.
Did ford attend the University of Michigan?,Yes,Yes.
What positions Ford played in the school football team?,Center and linebacker,Center and linebacker
What did Ford say about his biological father?,He was abusive and had a history of hitting his mother.,"A carefree, well-to-do man."
Who did Ford nominate for Vice President?,Bob Dole,George H. W. Bush
Was Ford active about Vietnamese affairs?,No,No.
hard,hard,No
Had Ford's wife married before?,Yes,Yes.
Is Ford related with the assassination of John F. Kennedy?,Yes,No.
Was Gerald Ford the 38th President of the United States?,yes,Yes.
Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives?,yes,Yes.
Was Ford an Eagle Scout?,yes,Yes.
What district was Ford elected from?,Michigan's 5th congressional district,Michigan's 5th congressional district
How many Eagle Scouts were involved in Ford's funeral procession?,400,400
Which future Heisman Trophy winner did Ford tackle?,Jay Berwanger,Jay Berwanger
Has another US President been an Eagle Scout?,no,No.
Did Ford need to do extra work to pay for college?,yes,Yes.
Have more than five Presidents lived past the age of 90?,no,No
How do kwajalein and eniwetok relate?,The Monterey supported landings at both locations.,No relation mentioned.
"What did Ford receive on April 13, 1942?",Ford received a commission as ensign in the US Naval Reserve.,No information provided.
Was Ford released from the hospital?,Yes.,Yes.
"Was Ford interred at his Presidential Museum in Grand Rapids, Michigan?",Yes.,Yes.
Is Ford one of only four former Presidents to live to 90 or more years of age ?,Yes.,Yes.
Was Ford the last surviving member of the Warren Commission ?,Yes.,Yes.
"Did Grand Rapids supporters not urge him to take on Bartel J. Jonkman , the incumbent Republican congressman ?",No.,No
Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation ?,They did claim Ford's pardon was quid pro quo.,Yes
Does Ghana have twice the per capita output of the poorer countries in West Africa?,yes,Yes
Is English Ghana's official language?,yes,Yes.
Did the Dutch build the Elmina Castle?,No,No
When did Ghana achieve independence from the United Kingdom?,1957,1957
How many regions is Ghana divided into?,10,10
Who is the head of state of Ghana?,President John Agyekum Kofuor,John Agyekum Kufuor
What is the dominant religion in Ghana?,Christian,Christianity
What are the two subfamilies of the Native Ghanaian languages?,Kwa and Gur,Kwa and Gur
What is the weather like at Lake Volta?,Warm and comparatively dry,Hot and dry
Is Ghana in Asia?,no,No
Is English the official language?,yes,Yes.
Is Ghana's head of state John Agyekum Kufuor?,yes,Yes.
What does the word Ghana mean?,warrior king,Warrior King
Who was Kwame Nkrumah?,founder and first president,Founder and first president of modern Ghana
Where is old Ghana in relation to present Ghana?,500 miles north,500 miles north
Who makes up Ghana's Parliament?,the New Patriotic Party and National Democratic Congress,25 members
What European countries established states in Ghana?,The UK,"Portugal, Britain, and Scandinavia"
Does the Gray Wolf share an ancestry with the domestic dog?,Yes,Yes.
Do wolf pups tend to have darker fur than adults?,Yes,Yes.
Do wolves leave their pack?,Yes,Yes.
What kinds of coats do wolves have?,bulky coats with two layers,Two-layered coats
Where do wolves have scent glands?,Helping the woldf to effectively navigate over large expanses while concurrently keeping others informed of its whereabouts.,"All over their bodies, including at the base of the tail, between toes, and in the eyes, genitalia, and skin."
How much do wolves weigh?,typically varies between 32 and 62 kilograms,32 to 62 kilograms (70 to 135 pounds)
Why do wolves howl?,"Howling helps pack members keep in touch, allowing them to communicate effectively in thickly forested areas or over great distances. Howling also helps to call pack members to a specific location. Howling can also serve as a declaration of territory, as shown in a dominant wolf&apos;s tendency to respond to a human imitation of a ""rival"" wolf in an area the wolf considers its own. ",To strengthen social bonds and communicate.
What is surplus killing?,Surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting.,Surplus killing is the killing of several prey animals too numerous to eat at one sitting.
Are Gray Wolves native to North America?,Yes,Yes.
Is the Gray Wolf a mammal?,Yes,Yes.
Are a wolf's teeth its main weapons?,Yes,Yes.
Are wolves built for stamina?,Yes,Yes.
Where is the largest gray wolf population thought to be found?,Kazakhstan,Kazakhstan
To what genus does the gray wolf belong?,Canis,Canis
When do wolves molt?,Late Spring or Early Summer,Late spring or early summer
Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?,A pack can only suppport one littler per year,To ensure only one litter per year.
What type of tools do biologists use to capture wolves for tagging?,Darting and Foot hold traps.,Darting and foot hold traps
"Forward, erect ears and slightly bristle hackles are a sign of what in wolves?",Dominance,Anger
Was Grover Cleveland born in New York?,no,No
Did Grover Cleveland win the 1884 election?,yes,Yes.
Did Grover Cleveland support women's suffrage?,No,No
Where was Grover Cleveland married?,In the White House,White House
What did Cleveland die from?,A heart attack,Heart attack
How many years after Cleveland left office did the U.S. win the Spanish-American War?,One Year,1
What did Cleveland's opponents say in 1884 to counter his innocent image?,That he had fathered an illegitimate child,They denounced him as corrupt.
Who did Cleveland run against in 1884?,former Senator James G. Blaine of Maine,James G. Blaine of Maine
Why did Cleveland want to hide his cancer surgery from the public?,To avoid further market panic,To avoid further market panic.
Was Grover Cleveland the twenty-seventh president of the United States?,No.,No.
